Nodes,Time (s),Memory (MB)
10,3.218650817871094e-05,0.00390625
50,0.0002219676971435547,0.00390625
100,0.0007622241973876953,0.0
500,0.01720285415649414,0.015625
1000,0.06969809532165527,0.07421875
